Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1789419600,447288165,0,0,0,0,0.00,0.00
1789419601,447492701,0,0,0,0,0.00,99.00
1789419602,447396338,20,1,1,0,0.00,17.89
1789419603,447399051,54,2,2,0,0.00,13.40
1789419604,447414845,79,0,0,0,0.00,11.22
1789419605,447385725,116,0,0,0,0.00,14.29
1789419606,447396685,133,0,1,0,0.00,26.73
1789419607,447552719,115,1,1,0,1.56,22.55
1789419608,447391853,118,0,0,0,0.00,25.00
1789419609,447392059,137,0,0,0,0.00,20.21
1789419610,447426338,85,0,0,0,0.00,9.47
1789419611,447393709,129,0,0,0,0.00,25.25
1789419612,447390159,131,0,1,0,0.00,23.16
1789419613,447400690,104,0,0,0,0.00,14.44
1789419614,447395302,148,1,1,0,0.00,27.72
1789419615,447400994,139,1,1,0,0.00,26.00
1789419616,447420767,104,0,0,0,0.00,12.24
1789419617,447391622,118,0,0,0,0.00,26.92
1789419618,447565546,95,0,0,0,0.00,24.27
1789419619,447404569,115,0,0,0,0.00,21.78
1789419620,447402664,119,0,0,0,0.00,28.28
1789419621,447420836,90,0,0,0,0.00,40.00
1789419622,447398091,89,0,0,0,0.00,39.42
1789419623,447422423,83,0,0,0,0.00,32.00
1789419624,447398836,64,0,0,0,0.00,15.00
1789419625,447407327,80,0,0,0,0.00,17.35
1789419626,447401898,47,0,0,0,0.00,13.73
1789419627,447416546,56,0,0,0,0.00,14.71
1789419628,447420269,72,0,0,0,0.00,12.12
1789419629,447408076,66,0,0,0,0.00,14.29
1789419630,447478957,67,0,0,0,0.00,20.00
1789419631,447393925,72,0,0,0,0.00,40.20
1789419632,447418965,78,0,0,0,0.00,19.35
1789419633,447425083,49,0,0,0,0.00,10.31
1789419634,447404281,78,1,1,0,0.00,13.27
1789419635,447399556,68,0,0,0,0.00,10.75
1789419636,447389908,63,0,0,0,0.00,15.00
1789419637,447882310,59,0,0,0,1.56,8.60
1789419638,447414841,55,0,0,0,0.00,9.38
1789419639,447393425,66,0,0,0,0.00,11.34
1789419640,447394084,56,0,0,0,0.00,18.75
1789419641,447406820,56,0,0,0,0.00,33.96
1789419642,447581623,52,1,1,0,0.00,16.48
1789419643,447397522,54,1,1,0,0.00,17.05
1789419644,447906460,54,0,0,0,0.00,9.57
1789419645,447431525,46,0,0,0,0.00,11.00
1789419646,448401590,88,1,0,0,0.00,19.80
1789419647,447383838,70,0,0,0,0.00,38.24
1789419648,449018020,52,0,0,0,0.00,22.77
1789419649,447416451,63,0,0,0,0.00,21.43
1789419650,447399872,62,0,0,0,0.00,14.29
1789419651,447396367,51,0,1,0,0.00,9.09
1789419652,447409937,43,0,0,0,0.00,10.20
1789419653,447401583,47,2,2,0,0.00,10.20
1789419654,447390300,51,0,0,0,0.00,8.25
1789419655,447410094,47,0,0,0,0.00,15.69
1789419656,447403964,56,0,0,0,0.00,11.22
1789419657,447396908,46,0,0,0,0.00,8.16
1789419658,448928844,57,0,0,0,0.00,9.57
1789419659,447401017,59,0,0,0,0.00,10.42
1789419660,447398180,46,0,2,0,0.00,10.10
1789419661,447733402,78,1,1,0,0.00,18.81
1789419662,447413732,25,0,0,0,0.00,5.10
1789419663,447401119,48,0,0,0,0.00,16.00
1789419664,447389580,63,2,2,0,0.00,13.86
1789419665,447402113,66,1,2,0,0.00,16.83
1789419666,447399719,65,0,0,0,0.00,10.42
1789419667,447390399,71,0,0,0,0.00,9.57
1789419668,447396151,70,0,0,0,0.00,13.27
1789419669,447388976,91,0,0,0,0.00,12.37
1789419670,447400872,68,0,0,0,0.00,11.34
1789419671,447392842,66,0,0,0,0.00,11.46
1789419672,447559875,62,0,0,0,0.00,12.24
1789419673,447379999,46,1,1,0,0.00,16.83
1789419674,447404183,54,2,2,0,0.00,8.33
1789419675,447409440,43,0,0,0,0.00,7.22
1789419676,447737752,53,0,0,0,0.00,11.22
1789419677,447400171,38,0,0,0,0.00,13.59
1789419678,447402643,60,0,0,0,0.00,12.12
1789419679,447400185,35,0,0,0,0.00,4.21
1789419680,447417799,57,1,1,0,0.00,11.88
1789419681,448115446,70,1,1,0,1.56,11.46
1789419682,447398238,66,1,1,0,0.00,14.29
1789419683,447403065,52,0,0,0,0.00,11.22
1789419684,447398963,51,0,0,0,0.00,5.38
1789419685,447391931,69,0,0,0,0.00,13.27
1789419686,447409966,60,0,0,0,0.00,12.75
1789419687,447422074,53,0,0,0,0.00,14.56
1789419688,447404253,37,1,1,0,0.00,4.21
1789419689,447403501,50,0,0,0,0.00,9.28
1789419690,447401818,52,0,0,0,0.00,11.34
1789419691,447408205,63,0,0,0,0.00,9.57
1789419692,447401662,70,0,0,0,0.00,13.00
1789419693,447410188,48,0,0,0,0.00,15.53
1789419694,447404783,38,0,0,0,0.00,6.25
1789419695,447404448,51,0,0,0,0.00,7.37
1789419696,447417180,55,0,0,0,0.00,15.38
1789419697,447399983,67,0,0,0,0.00,9.47
1789419698,447437848,41,1,1,0,0.00,4.21
1789419699,447406788,64,3,3,0,0.00,12.50
1789419700,447401796,39,0,0,0,0.00,10.89
1789419701,447420871,73,0,0,0,0.00,12.37
1789419702,447410015,54,0,0,0,0.00,12.00
1789419703,447406227,45,0,0,0,0.00,10.10
1789419704,447399499,38,0,0,0,0.00,6.12
1789419705,447425845,61,0,1,0,0.00,14.14
1789419706,447403261,47,0,0,0,0.00,10.20
1789419707,447408742,58,0,0,0,0.00,7.45
1789419708,447403292,59,0,0,0,0.00,11.34
1789419709,447414908,42,0,0,0,0.00,9.09
1789419710,447398593,67,0,0,0,0.00,13.00
1789419711,447395339,13,0,0,0,0.00,5.88
1789419712,447402156,64,0,0,0,0.00,11.34
1789419713,447414040,76,1,1,0,0.00,17.00
1789419714,447762973,81,0,0,0,0.00,20.19
